class,num_boxes,area_px_min,area_px_mean,area_px_median,area_px_p90,area_px_max
A10,751,352.0,416141.44607190415,34510.0,673416.0,15577408.0
A400M,530,396.0,634701.496226415,150457.5,1653677.2,16489144.0
AG600,278,736.0,371717.7086330935,156652.0,905005.2000000003,7901184.0
AH64,518,465.0,1065580.8262548263,134952.0,2893228.000000001,16993200.0
AKINCI,88,256.0,316861.26136363635,164610.5,796297.2999999998,3141632.0
AV8B,457,500.0,1060827.6192560175,190092.0,3043722.0000000005,24000000.0
An124,223,434.0,345755.735426009,121329.0,752832.0000000002,6876480.0
An22,107,1862.0,342853.68224299065,222680.0,661195.6000000001,2143360.0
An225,107,4002.0,303271.73831775703,103740.0,902246.4,5800842.0
An72,189,232.0,336511.7301587302,127530.0,868168.0000000001,8158598.0
B1,650,387.0,688522.3538461538,88927.0,1665682.5000000005,36152320.0
B2,565,209.0,289755.58584070794,64362.0,669500.8000000002,18187975.0
B21,59,273.0,1077429.3220338982,147696.0,3100736.4000000004,10461184.0
B52,619,126.0,329772.9870759289,44325.0,668226.0000000001,10553367.0
Be200,300,252.0,398330.69,91192.0,1004733.9000000013,7140584.0
C1,225,252.0,242423.01777777777,58658.0,488614.1999999996,7257538.0
C130,1572,168.0,360353.9662849873,30754.5,677214.4000000001,19807200.0
C17,741,207.0,589213.750337382,73424.0,1205210.0,18832800.0
C2,830,154.0,556870.9903614458,126920.0,1347608.7000000002,23526720.0
C390,194,390.0,677250.8659793815,230265.0,1415691.6000000008,13422780.0
C5,398,1357.0,690166.595477387,170341.5,1778066.9000000004,16284300.0
CH47,361,84.0,300327.9556786704,61288.0,795685.0,7546590.0
CH53,95,1650.0,984865.2,192812.0,2853760.2000000044,11190272.0
CL415,407,264.0,212007.37592137593,40086.0,534568.6000000002,5395368.0
E2,475,950.0,532441.6631578947,105270.0,1240564.0000000033,17584056.0
E7,222,4489.0,1557105.0990990992,409772.0,5052521.5,17879030.0
EF2000,826,184.0,392816.1525423729,58654.5,832069.5,13510893.0
EMB314,282,1840.0,299558.57446808513,41754.0,565350.3,12476000.0
F117,377,171.0,207980.41379310345,53466.0,598560.4000000003,2978208.0
F14,545,920.0,222047.82752293578,60489.0,616407.8000000005,3654050.0
F15,1532,77.0,436611.08420365537,59632.5,1178648.4000000001,24160256.0
F16,1934,126.0,447199.40847983456,51989.0,948709.8,18118782.0
F18,1709,180.0,373427.9830310123,38479.0,905922.0000000002,11165696.0
F2,132,416.0,426372.9166666667,52485.0,823049.700000001,9437184.0
F22,700,160.0,390293.36142857146,52477.5,760192.2000000001,26524589.0
F35,1508,104.0,368691.46485411143,42151.5,757285.7,13133376.0
F4,719,300.0,361654.4464534075,70358.0,838113.6000000003,13578112.0
FCK1,102,1406.0,397625.39215686277,102386.5,1207002.5000000002,4193376.0
H6,468,168.0,210968.4358974359,15499.0,595514.2000000002,8072532.0
Il76,272,338.0,244999.23529411765,52469.0,637893.0,6718420.0
J10,760,50.0,289258.1828947368,19990.0,545550.3,19562760.0
J20,838,130.0,214212.56205250596,47409.0,631908.8000000002,6895353.0
J35,111,364.0,295661.85585585586,62150.0,1070244.0,2076672.0
J36,83,180.0,101779.21686746988,24192.0,268682.39999999997,1006080.0
J50,37,240.0,92765.2972972973,11926.0,260586.5999999999,886711.0
JAS39,603,544.0,283265.39800995024,77376.0,634858.0000000003,7890624.0
JF17,255,696.0,344776.6509803922,108381.0,772107.9999999999,6965274.0
JH7,287,931.0,1001509.0557491289,69881.0,1709877.6000000122,20858040.0
KAAN,60,884.0,303860.7833333333,149322.0,711373.1000000002,4371081.0
KC135,440,960.0,608245.1090909091,49005.0,1290837.6000000008,34866942.0
KF21,122,1539.0,854860.5901639344,294133.5,2474918.3000000003,9144576.0
KJ600,92,1728.0,306488.48913043475,93671.5,1136291.4000000013,2690040.0
Ka27,156,1332.0,215247.34615384616,94405.5,492503.0,3127500.0
Ka52,256,240.0,276272.46875,80395.0,695291.0,4040550.0
MQ25,55,5508.0,371320.36363636365,177045.0,549704.2000000002,5871555.0
MQ9,366,648.0,723057.1912568306,93839.5,1753498.0,16606620.0
Mi24,369,512.0,290246.42547425476,53793.0,796004.3999999994,4574896.0
Mi26,115,2964.0,305470.06086956523,142310.0,859006.8000000011,2984021.0
Mi28,207,589.0,212956.961352657,98326.0,506823.2000000002,4272480.0
Mi8,308,667.0,295369.3506493507,56957.0,896354.4000000001,3678720.0
Mig29,380,45.0,163448.75263157894,38712.5,451706.30000000034,3418590.0
Mig31,481,900.0,245690.1871101871,44202.0,622920.0,4435230.0
Mirage2000,457,300.0,378743.8424507659,87862.0,969342.6000000001,11182080.0
P3,515,602.0,415758.55145631067,53805.0,1046812.4000000001,9670656.0
RQ4,305,1110.0,682769.7147540983,148035.0,1698897.6000000006,11186176.0
Rafale,798,72.0,362814.13784461154,68654.0,917920.4000000022,12275802.0
SR71,272,300.0,294613.1580882353,149569.0,721852.0000000001,3525312.0
Su24,487,220.0,86939.7227926078,9834.0,255967.2,1643829.0
Su25,454,144.0,152820.0704845815,14707.0,410449.5999999999,4601912.0
Su34,529,520.0,255622.30245746693,78960.0,618840.3999999999,5712477.0
Su47,67,11092.0,362993.1194029851,333506.0,648939.3999999999,2622042.0
Su57,420,180.0,234995.92142857143,81639.5,645447.6000000001,4039366.0
TB001,92,2325.0,363390.07608695654,98454.0,1179836.0000000002,2341669.0
TB2,428,1225.0,259725.36915887852,39176.0,548155.2000000001,23526720.0
Tejas,132,480.0,217762.44696969696,13581.5,543560.7000000003,5245876.0
Tornado,487,304.0,794091.7638603696,298236.0,2076039.6000000024,13504320.0
Tu160,427,494.0,245663.8969555035,73010.0,624758.4000000024,7333848.0
Tu22M,441,570.0,226164.47392290249,19686.0,668040.0,8511160.0
Tu95,436,450.0,201201.3027522936,49497.5,543676.5,6042000.0
U2,328,360.0,741793.4756097561,146464.5,2019934.4000000006,20053900.0
UH60,339,1276.0,348298.06194690266,55224.0,640553.9999999999,10912062.0
US2,660,364.0,376590.0090909091,79339.0,772978.5000000003,22738653.0
V22,908,153.0,436672.41079295153,33643.5,876434.4000000003,14619941.0
V280,38,21049.0,1309655.1315789474,714744.0,4150922.300000002,5669699.0
Vulcan,404,901.0,415529.1732673267,87557.0,825664.3999999997,19961856.0
WZ10,20,5724.0,405175.7,207883.5,1050006.5000000002,2064384.0
WZ7,132,418.0,206551.48484848486,11576.0,564653.2000000003,5684239.0
WZ9,15,3403.0,118310.8,28272.0,307956.5999999999,758065.0
X29,52,11187.0,674881.6153846154,194387.0,1312369.2,5569105.0
X32,76,22260.0,630203.6052631579,176223.0,821842.0,13058830.0
XB70,177,1240.0,594900.3163841808,194304.0,1045916.8,13729491.0
Y20,343,110.0,264315.5976676385,51744.0,737419.6000000002,5804136.0
YF23,141,675.0,292099.6524822695,143369.0,594504.0,2797568.0
Z10,101,483.0,449765.49504950497,47520.0,1353420.0,7162116.0
Z19,114,490.0,218135.51754385966,12865.5,663887.4,2557952.0
